# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Aulocytheridea faboides		606	Y	774011.0	Aulocytheridea faboides (Bosquet, 1852) Keij, 1957	Podocopida	Cytherideidae 	Aulocytheridea	Aulocytheridea faboides	Bosquet, 1852	Bosquet, J. (1852). Description des Entomostracés fossiles des terrains tertiaires de la France et de la Belgique. Mémoires Couronnés et Mémoires des Savants Étrangers. 24, 1-142.	
Aulocytheridea tavernieri		607	Y	774017.0	Asymmetricythere hiltermanni (Bassiouni, 1971)	Podocopida	Cytheridae	Asymmetricythere 	Asymmetricythere hiltermanni 	Bassiouni, 1971	Bassiouni, M.A. (1971a) Ostracoden aus dem Eozaen von aegypten. 3. Die Unterfamilien Brachycytherinae und Buntoniinae. Geologisches Jahrbuch 89, 169–192.	
Aurila osnabrugensis		623	N									
Australicythere sp. 		503	Na_sp.									
Australoecia sp.		97	Na_sp.									
Aversovalva aurea		98	Y	460926.0	Aversovalva aurea (Hornibrook, 1952)	Podocopida	Cytheruridae	Aversovalva	Aversovalva aurea	Hornibrook, 1952	Hornibrook, N. B. (1952). Tertiary and recent marine Ostracoda of New Zealand, their origin affinities and distribution. New Zealand Geological Survey, Paleontological Bulletin. 18: 1-82.	
Aversovalva sp.		99	Na_sp.									
Bairdia aegyptiaca		3	N									
Bairdia beraguaensis		757/823	Y	774278.0	Bairdia beraguaensis Singh & Tewari, 1967	Podocopida	Bairdiidae	Bairdia	Bairdia beraguaensis	Singh & Tewari, 1967	Tewari, B S; Singh, P. (1967). Ostracoda from the Nummulitic Beds of Kalakot, Jammu and Kashmir State. Publications, Centre of advanced study in Geology, Panjab University, 3, 117-130	
Bairdia cespedecensis		655	Y_unaccepted_superseded combination	791742.0	Paranesidea cespedesensis (Bold, 1946)	Podocopida	Bairdiidae	Paranesidea	Paranesidea cespedesensis	Bold, 1946	Bold, W.A. (1946). Contribution to the study of Ostracoda with special reference to the Tertiary and Cretaceous microfauna of the Caribbean region. J. H. De Bussy (Ed.), Amsterdam, 167p.	
Bairdia crebra		374	Y_unaccepted_new combination	799321.0	Bairdoppilata crebra (Deltel, 1963)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata crebra	Deltel, 1963	Deltel, B. (1963). Nouveau ostracodes de l'Éocène et de l'Oligocène de l'Aquitaine méridionale. Actes de la Société Linnéenne de Bordeaux, Tome C. 100:127-221.	
Bairdia cymbula		380	Y_unaccepted_superseded combination	799334.0	Bairdoppilata cymbula (Deltel, 1963)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata cymbula	Deltel, 1963	Deltel, B. (1963). Nouveau ostracodes de l'Éocène et de l'Oligocène de l'Aquitaine méridionale. Actes de la Société Linnéenne de Bordeaux, Tome C. 100:127-221.	
Bairdia dolicha 		656	Y	774387.0	Bairdia dolicha (Bold, 1957)	Podocopida	Bairdiidae	Bairdia	Bairdia dolicha	Bold, 1957	Bold, W.A. (1957). Ostracoda from the Paleocene of Trinidad. Micropaleontology. 3(1):1-18.	
Bairdia elongata		601	Y_unaccepted_junior objective synonym	799352.0	Bairdia elongata (Lienenklaus, 1900)	Podocopida	Bairdiidae	Bairdia	Bairdia elongata 	Lienenklaus, 1900	Lienenklaus, E. (1900). Die Tertiär-ostracoden des mittleren Norddeutschlands. Zeitschrift der Deutschen Geologischen Gesellschaft. 52(3):497-550.	
Bairdia gliberti		32/80/824	Y	799607.0	Bairdoppilata gliberti (Keij, 1957)							
Bairdia gosportensis		221	Y	774465.0	Bairdia gosportensis (Blake, 1960)	Podocopida	Bairdiidae	Bairdia	Bairdia gosportensis	Balke, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Bairdia hiwanneensis		657	Y	774497.0	Bairdia hiwanneensis (Howe & Law, 1936)	Podocopida	Bairdiidae	Bairdia	Bairdia hiwanneensis	Howe & Law, 1936	Howe, H.V.; Law, J. (1936). Louisiana Vicksburg Oligocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 7:1-96.	
Bairdia ilaroensis			Y_unaccepted_superseded combination	799388.0	Bairdoppilata ilaroensis (Reyment & Reyment, 1959)							
Bairdia indica 		719/955	Y_unaccepted_new combination	799389.0	Neonesidea indica (Tewari & Tandon, 1960)							
Bairdia kathiawarensis 		957	N									
Bairdia kirtharensis 		826	Y_unaccepted_superseded combination	775421.0	Bairdoppilata kirtharensis (Tewari & Tandon, 1960)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata kirtharensis	Tewari & Tandon, 1960	Tewari, B S; Tandon, K K. (1960). Kutch-microfauna - Lower Tertiary Ostracoda. Proceedings of the National Institute of Sciences of India Sec.B, 26 (4), 147-167.	
Bairdia kutchensis		825	Y	774597.0	Bairdia kutchensis (Khosla, 1973)	Podocopida	Bairdiidae	Bairdia	Bairdia kutchensis	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Bairdia magna		281	Y_unaccepted_superseded original combination	775428.0	Bairdoppilata magna (Alexander, 1927)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata magna	Alexander, 1927	Alexander, C.I. (1927). The stratigraphic range of the Cretaceous ostracod of Bairdia subdeltoidea and its allies. Journal of Paleontology. 1(1):29-33.	
Bairdia poddari		827	Y_unaccepted_superseded combination	799609.0	Bairdoppilata poddari (Luebimova & Mohan, 1960)							
Bairdia septentrionalis		4	Y_unaccepted_superseded combination	775443.0	Bairdoppilata septentrionalis (Bonnema, 1940)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata septentrionalis	Bonnema, 1940	Bonnema, J.H. (1941). Ostracoden aus der Kreide des Untergrundes der nordoestlichen Niederlande. Naturhistorisch Maandblad. 29(9–12):91–95, 104–108, 115–118, 129–132; 30 (1–6): 8–12, 21–29, 40–43, 56–60, 70–71.	
Bairdia sp.		249	Na_sp.									
Bairdia subbdentoidea		600	N									
Bairdia subdeltoides 		956	Y_unaccepted_superseded combination	775448.0	Bairdoppilata subdeltoidea (Münster, 1830)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata subdeltoidea	Münster, 1830	Münster, G. (1830). Über einige fossile Arten Cypris (Müller, Lamk.) und Cythere (Müller, Latreille, Desmarest). Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde. 1: 60-67.	
Bairdia suborbiculata		282	Y_unaccepted_superseded combination	775449.0	Bairdoppilata suborbiculata (Alexander, 1934)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata suborbiculata 	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Bairdoppilata crescentana		435	N									
Bairdoppilata gliberti		32/80/824/510/602		799607.0	Bairdoppilata gliberti (Keij, 1957)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata gliberti 	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210.	
Bairdoppilata hirsuta		316	Y	421254.0	Bairdoppilata hirsuta (Brady, 1880)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata hirsuta	Brady, 1880	Brady, G. S. (1880). Report on the Ostracoda dredged by H.M.S. Challenger during the Years 1873-1876. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 1 (part 3): 1-184, pl. 1-45.	
Bairdoppilata ilaroensis 		391/5/659/909	Y	799388.0	Bairdoppilata ilaroensis (Reyment & Reyment, 1959)	Podocopida	Bairdiidae	Bairdoppilata	Bairdoppilata ilaroensis	Reyment & Reyment, 1959	Reyment, R. A.; Reyment, E. (1959). Bairdia ilaroensis sp. nov. aus dem Paleozän Nigeriens und die Gültigkeit der Gattung Bairdoppilata (Ostr. Crust.). Acta Universitatis Stockholmiensis, Stockholm Contributions in Geology. 3(2): 59-69.	
