# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Taxonomy information extracted from EMO taxonomy_info.csv.
# ----------------------------------------------------------------------

Taxon name	Type	ORID	WOD included	AphiaID_of the accepted name	Accepted name	Order	Family	Genus	Species	Identifier	Description	Remarks
Cytherelloidea praeauricula		114	Y	600614.0	Cytherelloidea praeauricula (Chapman, 1926)	Platycopida     	Cytherellidae 	Cytherelloidea 	Cytherelloidea praeauricula 	Chapman, 1926	Not documented	
Cytherelloidea pseudoinsolens 		716	Y	780674.0	Cytherelloidea pseudoinsolens (Khosla & Pant, 1988)	Platycopida             	Cytherellidae 	Cytherelloidea 	Cytherelloidea pseudoinsolens	Khosla & Pant, 1988	Khosla, S. C.; Pant, P. C. (1988). Ostracoda from the Eocene and Oligocene beds of Kachchh, Gujarat, part 1 - families Cytherellidae, Bairdiidae and Trachyleberididae. Indian Journal of Earth Sciences. 15: 325-346.	
Cytherelloidea sp.		315/326/509/389/390/756	Na_sp.									
Cytherelloidea squiresi		434	N									
Cytherelloidea willetti		115	Y	460005.0	Cytherelloidea willetti (Swanson, 1969)	Platycopida             	Cytherellidae 	Cytherelloidea 	Cytherelloidea willetti	Swanson, 1969	Swanson, K. M. (1969). Some Lower Miocene Ostracoda from the Middle Waipara District, New Zealand. Transactions and Proceedings of the Royal Society of New Zealand. 7: 33-48.	
Cytherelloidea barkhanensis 		968	Y	780430.0	Cytherelloidea barkhanensis (Tewari & Tandon, 1960)	Platycopida          	Cytherellidae  	Cytherelloidea 	Cytherelloidea barkhanensis	Tewari & Tandon, 1960	Tewari, B S; Tandon, K K. (1960). Kutch-microfauna - Lower Tertiary Ostracoda. Proceedings of the National Institute of Sciences of India Sec.B, 26 (4), 147-167 	Misspelling Cytherelloidea barkhanensis ?
Cytherelloides insolensa 		967	N									
Cytheretta alexanderi		230/811	Y	780784.0	Cytheretta alexanderi (Howe & Chambers, 1935)	Platycopida   	Cytherellidae  	Cytherelloidea 	Cytheretta alexanderi	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Cytheretta auriculata		338	Y	780788.0	Cytheretta auriculata (Blondeau, 1973)	Platycopida   	Cytherellidae  	Cytherelloidea 	Cytheretta auriculata 	Blondeau, M A. (1973). Quelques nouvelles espèces d´Ostracodes éocènes des bassins de Campbon et de Saffré (Loire-Atlantique). Revue de Micropaleontologie, 15 (3), 125-133		
Cytheretta vulgaris		355	N									
Cytheridea alabamensis		591	Y_unaccepted_new combination	802652.0	Cytheridea alabamensis (Stephenson, 1938)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea alabamensis	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	No accepted name
Cytheridea alexanderi		585	Y	781180.0	Cytheridea alexanderi (Stephenson, 1938)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea alexanderi	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	
Cytheridea atlantic 		339	Y	780943.0	Cytheridea atlantica (Blondeau, 1973)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea atlantica	Blondeau, 1973	Blondeau, M A. (1973). Quelques nouvelles espèces d´Ostracodes éocènes des bassins de Campbon et de Saffré (Loire-Atlantique). Revue de Micropaleontologie, 15 (3), 125-133	
Cytheridea bashiensis		592	Y	781216.0	Cytheridea (Leptocytheridea) bashiensis (Stephenson, 1938)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea (Leptocytheridea) bashiensis	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585.	
Cytheridea broussardi		586	Y_unaccepted_new combination	802432.0	Cytheridea broussardi (Howe & Garrett, 1934)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea broussardi	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64.	
Cytheridea camphonensis		340	Y	780956.0	Cytheridea campbonensis (Blondeau, 1973)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea campbonensis	Blondeau, 1973	Blondeau, M A. (1973). Quelques nouvelles espèces d´Ostracodes éocènes des bassins de Campbon et de Saffré (Loire-Atlantique). Revue de Micropaleontologie, 15 (3), 125-133	
Cytheridea everetti		294	Y_unaccepted_new combination	802454.0	Cytheridea everetti (Berry, 1925)	Platycopida 	Cytherellidae  	Cytheridea  	Cytheridea everetti	Berry, 1925		
Cytheridea fabaformis		295	N									
Cytheridea fornicata		298	Y_unaccepted_new combination	784392.0	Haplocytheridea fornicata (Alexander, 1934)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea fornicata	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	
Cytheridea garretti		572	Y_unaccepted_new combination	777985.0	Clithrocytheridea garretti (Howe & Chambers, 1935)	Podocopida	Cytherideidae	Clithrocytheridea 	Clithrocytheridea garretti	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Cytheridea goochi		564	Y_unaccepted_superseded original combination	784397.0	Haplocytheridea goochi (Stephenson, 1942)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea goochi 	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.	
Cytheridea gosportensis		573	Y_unaccepted_superseded original combination	790908.0	Ouachitaia gosportensis (Stephenson, 1942)	Podocopida	Cytherideidae	Ouachitaia	Ouachitaia gosportensis	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.	
Cytheridea harrisi		578	Y_unaccepted_new combination	802610.0	Cytheridea (Haplocytheridea) harrisi Stephenson, 1938	Podocopida	Cytherideidae	Cytheridea  	Cytheridea (Haplocytheridea) harrisi	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	No accepted name
Cytheridea hopkinsi		593	Y_unaccepted_new combination	802475.0	Cytheridea hopkinsi Howe & Garrett, 1934	Podocopida	Cytherideidae	Cytheridea  	Cytheridea hopkinsi 	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	No accepted name
Cytheridea husseyi		566	Y_unaccepted_superseded original combination	778927.0	Cyamocytheridea husseyi (Stephenson, 1942)	Podocopida	Cytheridae	Cyamocytheridea	Cyamocytheridea husseyi	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.	
Cytheridea intermedia		204	Y	781029.0	Cytheridea intermedia (Reuss, 1850)	Podocopida	Cytherideidae	Cytheridea	Cytheridea intermedia	Reuss, 1850	Reuss, A. E. (1850). Die fossilen Entomostraceen des oesterreichischen Tertiaerbeckens. Naturwissenschftliche Abhandlungen. 3: 41-92.	
Cytheridea leei		579	Y_unaccepted_new combination	784412.0	Haplocytheridea leei (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea leei	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	
Cytheridea lisbonensis		567	Y_unaccepted_superseded original combination	812976.0	Phractocytheridea lisbonensis (Stephenson, 1942)			Phractocytheridea	Phractocytheridea lisbonensis	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115. 	
Cytheridea marthavillensis		580	Y_alternative representation_new combination	811702.0	Cytheridea marthavillensis (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Cytheridea	Cytheridea marthavillensis	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	No accepted name
Cytheridea mexicana		568	Y	781205.0	Cytheridea (Haplocytheridea) mexicana (Stephenson, 1942)	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Haplocytheridea) mexicana	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.	
Cytheridea montgomeryensis		569	Y_unaccepted_superseded original combination	784420.0	Haplocytheridea montgomeryensis (Howe & Chambers, 1935)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea montgomeryensis	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	
Cytheridea moodyi		581	Y_unaccepted_new combination	784422.0	Haplocytheridea moodyi (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea moodyi 	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	
Cytheridea multipunctata		299	N									
Cytheridea naheolensis		594	Y	781215.0	Cytheridea (Leptocythere) naheolensis (Stephenson, 1938)	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Leptocythere) naheolensis	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	
Cytheridea nanfaliensis		587	N									
Cytheridea oliveri		574	Y	781185.0	Cytheridea (Clithrocytheridea) oliveri (Cushman, 1925)	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Clithrocytheridea) oliveri	Cushman, 1925	Cushman, J. A. (1925). An Eocene fauna from the Moctezuma River, Mexico. Bulletin of the American Association of Petroleum Geologists. 9: 298-303.	
Cytheridea papillosa		565	Y_unaccepted_superseded original combination	157645.0	Eucytheridea papillosa (Bosquet, 1852)	Podocopida	Eucytheridae	Eucytheridea	Eucytheridea papillosa	Bosquet, 1852	Bosquet, J. (1852). Description des Entomostracés fossiles des terrains tertiaires de la France et de la Belgique. Mémoires Couronnés et Mémoires des Savants Étrangers. 24, 1-142.	
Cytheridea pendletonensis		588	Y_alternative representation_new combination	811703.0	Cytheridea pendletonensis (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Cytheridea	Cytheridea pendletonensis	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	
Cytheridea ruginosa		297	Y_unaccepted_superseded original combination	792413.0	Phractocytheridea ruginosa (Alexander, 1934) 			Phractocytheridea	Phractocytheridea ruginosa 	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237. 	
Cytheridea ruida		296	Y_unaccepted_superseded original combination	790911.0	Ouachitaia ruida (Alexander, 1934)	Podocopida	Cytherideidae	Ouachitaia	Ouachitaia ruida	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237. 	
Cytheridea sabinensis		582	Y_unaccepted_new combination	802533.0	Cytheridea sabinensis (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Cytheridea	Cytheridea sabinensis	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64.	No accepted name
Cytheridea semireticulata		575	Y_unaccepted_superseded original combination	790913.0	Ouachitaia semireticulata (Stephenson, 1942)	Podocopida	Cytherideidae	Ouachitaia	Ouachitaia semireticulata	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.		
Cytheridea smithvillensis		576	Y_unaccepted_superseded original combination	778074.0	Cocoaia smithvillensis (Stephenson, 1942)	Podocopida	Cytherideidae	Cocoaia	Cocoaia smithvillensis 	Stephenson, 1942	Stephenson, M.B. (1942a) Some Claiborne Eocene Ostracoda of the genus Cytheridea from the Gulf Coast. Journal of Paleontology 16, 105–115.	
Cytheridea sp.		534/570/571	Na_sp.									
Cytheridea subpyriformis 		577	Y_unreviewed	813226.0	Cytheridea (Clithrocytheridea) subpyriformis	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Clithrocytheridea) subpyriformis			Lack of identifier and original description
Cytheridea tombigbeensis		589	Y_unaccepted_new combination	802581.0	Cytheridea (Clithrocytheridea) tombigbeensis (Stephenson, 1938)	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Clithrocytheridea) tombigbeensis	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	No accepted name
Cytheridea tuscahomensis		590	Y	781188.0	Cytheridea (Clithrocytheridea) tuscahomensis (Stephenson, 1938)	Podocopida	Cytherideidae	Cytheridea	Cytheridea (Clithrocytheridea) tuscahomensis 	Stephenson, 1938	Stephenson, M B. (1938). Lower Eocene Ostracoda of the genus Cytheridea from Alabama (Florida). Journal of Paleontology, 12 (6), 570-585	
Cytheridea veatchi		583	Y_unaccepted_new combination	792415.0	Phractocytheridea veatchi (Howe & Garrett, 1934)			Phractocytheridea	Phractocytheridea veatchi 	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64. 	
Cytheridea wallacei		584	Y_unaccepted_new combination	784457.0	Haplocytheridea wallacei (Howe & Garrett, 1934)	Podocopida	Cytherideidae	Haplocytheridea	Haplocytheridea wallacei 	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64.	
Cytherideid sp.		537	Na_sp.									Misseplling?
Cytherideis alta		236	N									
Cytherideis gosportensis		234	Y	781233.0	Cytherideis gosportensis (Blake, 1950)	Podocopida	Cytheridae	Cytherideis	Cytherideis gosportensis 	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Cytherideis mayeri		209	Y_unaccepted_superseded  combination	793106.0	Pontocythere mayeri (Howe & Garrett, 1934)	Podocopida	Cushmanideidae 	Pontocythere	Pontocythere mayeri	Howe & Garrett, 1934	Howe, H. V.; Garrett Jr., J. B. (1934). Louisiana Sabine Eocene Ostracoda. Geological Bulletin. 4: 1-64.	
Cytherideis mcguirti		208	N									
Cytherideis perforata		235	Y_unaccepted_superseded original combination	778893.0	Cushmanidea perforata (Blake, 1950)	Podocopida	Cushmanideidae 	Cushmanidea	Cushmanidea perforata	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Cytherideis ruggierii		207	N									
Cytheridella gantensis		708	Y	1670974.0	Cytheridella gantensis (Monostori, 1975)	Podocopida	Limnocytheridae	Cytheridella	Cytheridella gantensis	Monostori, 1975	Monostori, M. (1975). Ostracode fauna from the Eocene of Gant (Transdanubian Central Mountains, Hungary). Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae Sectio Geologica, 19, 75-129	
Cytherois sp. 		406	Na_sp.									
Cytheromorpha scrobiculata		293	Y	781345.0	Cytheromorpha scrobiculata (Alexander, 1934)	Podocopida	Loxoconchidae 	Cytheromorpha 	Cytheromorpha scrobiculata	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	Misseplling Cytheromorpha scrobiculata?
Cytheromorpha kritharensis		970	Y	781323.0	Cytheromorpha kirtharensis (Guha, 1968)	Podocopida	Loxoconchidae 	Cytheromorpha 	Cytheromorpha kirtharensis	Guha, 1968	Guha, D.K. (1968a) Ostracoda from the Middle Eocene of Kutch, Gujerat State, Western India. Bulletin of the Oil and Natural Gas Comission 5, 83–92.	
Cytheromorpha sp.		541	Na_sp.									
Cytheromorpha zinndorfi hungarica		703	N									
Cytheropteron aligerun		307	Y	781395.0	Cytheropteron aligerum (Alexander, 1934)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron aligerum	Alexander, 1934	Alexander, C.I. (1934). Ostracoda of the Midway (Eocene) of Texas. Journal of Paleontology. 8:206-237.	Misspelling Cytheropteron aligerum?
Cytheropteron australopunctatarum		116	Y	600617.0	Cytheropteron australopunctatarum (McKenzie et al., 1991)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron australopunctatarum	McKenzie et al., 1991	Not documented	Lack of original description
Cytheropteron brevelata 		529	N									
Cytheropteron cuneatum		117	Y	781442.0	Cytheropteron cuneatum (Dingle, 1993)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron cuneatum	Dingle, 1993	Dingle, R.V. (1993). Quaternary ostracods from the continental margin off south-western Africa. Part II. Minor taxa. Annals of the South African Museum. 103(1):1-165.	
Cytheropteron fiski		638	Y_unaccepted_superseded combination	786866.0	Konarocythere fiski (Howe & Law, 1936)	Podocopida	Cytheruridae 	Konarocythere	Konarocythere fiski 	Howe & Law, 1936	Howe, H.V.; Law, J. (1936). Louisiana Vicksburg Oligocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 7:1-96. 	
Cytheropteron fragillissimum		740	N									
Cytheropteron gulinckii		636	Y	781481.0	Cytheropteron gulincki (Keij, 1957)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron gulincki	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210.	Misspelling Cytheropteron gulincki?
Cytheropteron incertum		739	N									
Cytheropteron kutchensis 		732/892	N									
Cytheropteron lekefensis		668	Y	781512.0	Cytheropteron lekefense (Esker, 1968)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron lekefense	Esker, 1968	Esker III, G. (1968). Danian ostracodes from Tunisia. Micropaleontology. 14(3):319-333.,	Misspelling Cytheropteron lekefensis?
Cytheropteron lisbonense		735	Y	781517.0	Cytheropteron lisbonense (Stephenson, 1946)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron lisbonense	Stephenson, 1946	Stephenson, M. B. (1946). Weches Eocene Ostracoda from Smithville, Texas. Journal of Paleontology. 20: 297-344.	
Cytheropteron liue		477	N									
Cytheropteron montgomenryensis		799	Y	781540.0	Cytheropteron montgomeryense (Howe & Chambers, 1935)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron montgomeryense	Howe & Chambers, 1935	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	Misspelling Cytheropteron montgomeryense?
Cytheropteron planalatum		118	Y	461003.0	Cytheropteron planalatum (Guernet, 1985)	Podocopida	Cytheruridae 	Cytheropteron 	Cytheropteron planalatum	Guernet, 1985	Guernet, G. (1985). Ostracodes Paleogenes de quelques sites 'D.S.D.P.' de l'Ocean Indien (legs 22 et 23). Revue de Paleobiologie. 4 (2): 279-295.	
Cytheropteron proboscense		738	N									
Cytheropteron reticuloradiata		776	N									
Cytheropteron sp.		120/418/475/860/912/478/950/951/952/949/383	Na_sp.									
Cytheropteron spinosum		736	N									
Cytheropteron testudo		119	Y	128036.0	Cytheropteron testudo (Sars, 1869)	Podocopida	Cytheruridae 	Cytheropteron	Cytheropteron testudo	Sars, 1869	Sars, G.O. (1870). Nye Dybvandscrustaceer fra Lofoten. Forhandlinger i Videnskabs-Selskabet i Christiana. 1869: 147-174.	
Cytheropteron toshkaensis		9	Y	781613.0	Cytheropteron toshkaense (Bassiouni & Luger, 1990）	Podocopida	Cytheruridae 	Cytheropteron	Cytheropteron toshkaense	Bassiouni & Luger, 1990	Bassiouni, M. A. A.; Luger, P. (1990). Maastrichtian to Early Eocene Ostracoda from southern Egypt. Palaeontology, palaeoecology, palaeobiogeography and biostratigraphy. Berliner Geowissenschaftliche Abhandlungen Reihe A Geologie und Palaeontologie No. 120 (2): 755-928.	Misspelling Cytheropteron toshkaense?
Cytheropteron triangulare		637	Y	781615.0	Cytheropteron triangulare (Lienenklaus, 1900)	Podocopida	Cytheruridae 	Cytheropteron	Cytheropteron triangulare	Lienenklaus, 1900	Lienenklaus, E. (1900). Die Tertiär-ostracoden des mittleren Norddeutschlands. Zeitschrift der Deutschen Geologischen Gesellschaft. 52(3):497-550.	
Cytheropteron variosum		240/737	N									
Cytherura bambruggensis		633	Y_unaccepted	795788.0	Semicytherura bambruggensis (Keij, 1957)	Podocopida	Cytheruridae 	Semicytherura	Semicytherura bambruggensis	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210.,	
Cytherura eocaenica		773	Y	781702.0	Cytherura eocaenica (Neale & Singh, 1985)	Podocopida	Cytheruridae 	Cytherura	Cytherura eocaenica	Neale & Singh, 1985	Bhandari, A. (1982). Ostracoda from the Jainta Group in subsurface of Baghmara, Garo Hills, Meghalaya. Proc.9th Indian Coll.Micropaleont.Strat.(1981), 127-145.	
Cytherura jacksoni		669	Y	781722.0	Cytherura jacksoni (Huff, 1970) 	Podocopida	Cytheruridae 	Cytherura	Cytherura jacksoni	Huff, 1970	Huff, W.J. (1970) The Jackson Eocene Ostracoda of Mississippi. Bulletin, Mississippi Geological, Economical and Topographical Survey 114, 1–289. 	
Cytherura kutchensis		971	Y	781728.0	Cytherura kutchensis (Guha, 1968)	Podocopida	Cytheruridae 	Cytherura	Cytherura kutchensis	Guha, 1968	Guha, D.K. (1968a) Ostracoda from the Middle Eocene of Kutch, Gujerat State, Western India. Bulletin of the Oil and Natural Gas Comission 5, 83–92.	
Cytherura nonspinosa		121	N									
Cytherura oedelemensis		634	Y_unaccepted_superseded original combination	795863.0	Semicytherura oedelemensis (Keij, 1957)	Podocopida	Cytheruridae 	Semicytherura	Semicytherura oedelemensis	Keij, 1957	Keij, A.J. (1957). Eocene and Oligocene Ostracoda of Belgium. Institut Royal des Sciences Naturelles de Belgique—Mémoire. 136:1-210	
Cytherura semireticulata 		241	Y	781781.0	Cytherura semireticulata (Blake, 1950)	Podocopida	Cytheruridae 	Cytherura	Cytherura semireticulata	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Cytherura sp.		852/859	Na_sp.									
Cytherura ultra		242	Y	781803.0	Cytherura ultra (Blake, 1950)	Podocopida	Cytheruridae 	Cytherura	Cytherura ultra 	Blake, 1950	Blake, D.B. (1950) Gosport Eocene Ostracoda from Little Stave Creek, Alabama. Journal of Paleontology 24, 174–184.	
Dahomeya alata anteroglabrata 		922	N									
Dentokrithe indica 		722/884	Y	781915.0	Dentokrithe indica (Tewari & Tandon, 1960)	Podocopida	Krithidae	Dentokrithe	Dentokrithe indica	Tewari & Tandon, 1960	Tewari, B S; Tandon, K K. (1960). Kutch-microfauna - Lower Tertiary Ostracoda. Proceedings of the National Institute of Sciences of India Sec.B, 26 (4), 147-167	
Diebelina sp. 		522	Na_sp.									
Digmocythere ismaili		34/54/70	Y	781972.0	Digmocythere ismaili (Bassioni, 1971)	Podocopida	Brachycytheridae	Digmocythere	Digmocythere ismaili	Bassioni, 1971	Bassiouni, M.A. (1971a) Ostracoden aus dem Eozaen von aegypten. 3. Die Unterfamilien Brachycytherinae und Buntoniinae. Geologisches Jahrbuch 89, 169–192.	
Digmocythere omarai		260	Y_unaccepted_superseded original combination	776312.0	Brachycythere omarai (Cronin & Khalifa, 1980)	Podocopida	Brachycytheridae	Brachycythere	Brachycythere omarai 	Cronin & Khalifa, 1980	Cronin, T M; Khalifa, H. (1980). Middle and Late Eocene Ostracoda from Gebel El Mereir, Nile Valley, Egypt. Micropaleontology, 25 (4), 397-411	
Doricythereis bireticulata		679	N									
Doricythereis jordanica jordanica		10	N									
Dutoitella suhmi		320	Y	462585.0	Dutoitella suhmi (Brady, 1880)	Podocopida	Trachyleberididae	Dutoitella	Dutoitella suhmi	Brady, 1880	Brady, G. S. (1880). Report on the Ostracoda dredged by H.M.S. Challenger during the Years 1873-1876. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 1 (part 3): 1-184, pl. 1-45.	
Echinocythereis aqravensis		937	Y	821640.0	Echinocythereis aqravensis (Honigstein, Rosenfeld & Benjamini, 2002)	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis aqravensis	Honigstein, Rosenfeld & Benjamini, 2002	Honigstein, A.; Rosenfeld, A.; Benjamini, C. (2002). Eocene ostracode faunas from the Negev, southern Israel: Taxonomy, stratigraphy and paleobiogeography. Micropaleontology. 48(4): 365.	
Echinocythereis hartmanni		501	Y	711459.0	Echinocythereis hartmanni (Szczechura, 2001)	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis hartmanni	Szczechura, 2001	Szczechura, J. (2001). Ostracods from the Eocene of Seymour Island, Antarctic Peninsula. Palaeontologia Polonica. 60: 157-181.	
Echinocythereis jacksonensis		807	Y	782285.0	Echinocythereis jacksonensis (Howe & Pyeatt in Howe & Chambers, 1935)	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis jaini 	Howe & Pyeatt	Howe, H.V. & Chambers, J. (1935). Louisiana Jackson Eocene Ostracoda. Louisiana Geological Survey Geological Bulletin. 5:1-65.	Double check identifier
Echinocythereis jaini		846	Y	782286.0	Echinocythereis jaini (Khosla, 1973)	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis jaini 	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. Micropaleontology. 18(4):476-507.	
Echinocythereis multibullata		331	Y	782328.0	Echinocythereis (Scelidocythereis) multibullata (Siddiqui, 1971)	Podocopida	Trachyleberididae	Echinocythereis	Echinocythereis (Scelidocythereis) multibullata	Siddiqui, 1971	Siddiqui, Q.A. (1971a) Early Tertiary Ostracoda of the family Trachyleberididae from West Pakistan. Bulletin of the British Museum (Natural History).Geology Suppl. 9, 1–98.	
Echinocythereis palanaensis		845	Y	782302.0	Echinocythereis palanaensis (Khosla, 1973) 	Podocopida	Trachyleberididae	Echinocythereis 	Echinocythereis palanaensis	Khosla, 1973	Khosla, S.C. (1972). Ostracodes from the Eocene beds of Rajasthan, India. 	1972 or 1973?
Echinocythereis sahnii		413/332/893	N									
Echinocythereis scabella		521	N									
Echinocythereis scabra		197/620	Y	128380.0	Echinocythereis scabra (Muenster, 1830)	Podocopida	Trachyleberididae	Echinocythereis 	Echinocythereis scabra	Muenster, 1830	Münster, G. (1830). Über einige fossile Arten Cypris (Müller, Lamk.) und Cythere (Müller, Latreille, Desmarest). Jahrbuch für Mineralogie, Geognosie, Geologie und Petrefaktenkunde. 1: 60-67.	Should be Münster (ü ranther than u)
Echinocythereis septentrionalis		367	N									
Eopaijenborchella kamiyai		482	N									
Eopaijenborchella okinoshimaensis		481	N									
Eopaijenborchella sinensis		452/453/480	N									
