# EMO Database Metadata
# Maintainer: Jingwen Zhang
# Repository: https://github.com/nekoangel118/EMO-Database
# License: MIT
# Metadata Version: 2026.1
# Encoding: UTF-8
# Description:
#   Occurrence records extracted from EMO occurrence_record.csv.
# ----------------------------------------------------------------------

ORID	Accepted Name	Superorder	Order	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Taxon name	Identifier	Synonym	Image	Type locality and horizon & Stratigraphical range	Description	Diagnosis	Remarks	Ecology	Dimensions(L*W*H)	Location	Sample site	Latitude(N>0)	Longitude(E>0)	Group	Formation	Member	Epoch	Epoch subdivision	Stage	Min Age (Ma)	Max Age (Ma)	Depositional Environment	Lithology	Specimen	Source File	Remarks.1
26											Loxoconcha pseudopunctatella	Cronin and Khalifa		Plate 2, 6							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
27											Trachyleberis nodosus	Bassiouni		Plate 2, 7 							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
28											Krithe bartonensis	Jones		Plate 2, 8							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
29											Novocypris eocenana	Ducasse		Plate 2, 9							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
30											Leguminocythereis sadeki	Bassiouni		Plate 2, 10							Gebel Mokattam,Cairo, Egypt		31	30	Mokattam			Eocene	Middle				winnow platform edge sands (FZ6)/open platform (shelf lagoon)(FZ7)	limestone(major),marl(minor),sandy limestone(minor)		Elewa_2004_Quantitative analysis and palaeoecology of Eocene Ostracoda and benthonic foraminifera from Gebel Mokattam, Cairo, Egypt.pdf	
31											Cytherella tarabulusensis	El-Waer		4,1-2							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
32											Bairdia gliberti	Keij		4,3							Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
33											Novocypris eocenana	Ducasse		4,4							Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
34											Digmocythere ismaili	Bassiouni		4,5							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
35											Leguminocythereis oertli	Keij		4,6							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
36											Leguminocythereis sadeki	Boukhary		4,7							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
37											Krithe bartonensis	Jones		4,8							Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
38											Loxoconcha vetustopunctatella	Bassiouni,Boukhary,Shama and Blondeau		4,9							Fayoum area, Egypt		29.3	30.4		Birket Qarun		Eocene	Late				inner to middle neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
39											Nigeroloxoconcha sp.			4,10							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
40											Reticulina heluanensis	Bassiouni		4,11							Fayoum area, Egypt		29.3	30.4		Gehannam 		Eocene	Middle				inner to outer neritic	limestone(major),marl(minor),sandy limestone(minor)		Baz et al_2022_Biostratigraphy, palaeoecology, and palaeobiogeography of the Middle-Late Eocene ostracods, north-west Fayoum area, Egypt.pdf	
